,maintainability_mod_list,cyclomatic_mod_list,cyclomaticDensity_mod_list,effort_mod_func_avg_list,cyclomatic_mod_func_avg_list,length_mod_list,vocabulary_mod_list,difficulty_mod_list,volume_mod_list,effort_mod_list,bugs_mod_list,time_mod_list
9167,108.89402640488677,2,11.11111111111111,3953.6205408937712,1.5,125,35,13.5,641.1603771181208,8655.66509109463,0.21372012570604026,480.8702828385906
9168,131.03433189247357,2,22.22222222222222,306.26764278973826,1.5,39,23,5.46875,176.41891628622352,964.7909484402849,0.05880630542874117,53.59949713557138
9169,129.23790060133362,2,20.0,275.12197745343775,1.5,39,25,4.666666666666666,181.11039140121426,845.1818265389998,0.06037013046707142,46.95454591883332
9170,128.49870725156285,2,22.22222222222222,642.8234299484424,1.5,56,30,6.363636363636363,274.78587335407707,1748.6373758895813,0.0915952911180257,97.14652088275452
9171,134.8055776147666,2,25.0,211.01798620030146,1.5,33,23,4.375,149.27754454988144,653.0892574057314,0.04975918151662715,36.28273652254063
9172,171.0,1,,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
9173,98.44888434825111,6,12.244897959183673,7173.347725646472,2.6666666666666665,332,95,20.923076923076923,2181.1920619658745,45637.24929651676,0.7270640206552915,2535.402738695376
9174,112.75998083832839,4,13.333333333333334,2014.0828726200036,1.75,203,48,18.666666666666668,1133.7473876463946,21163.284569399366,0.37791579588213153,1175.738031633298
9175,135.8957867976771,1,14.285714285714285,157.65937933892815,1.0,44,22,2.888888888888889,196.21499122004107,566.8433079690076,0.06540499707334703,31.491294887167086
9176,143.85060886575016,1,10.0,36.52854248558019,1.0,33,21,3.5999999999999996,144.94647495169912,521.8073098261168,0.048315491650566374,28.989294990339822
9177,88.33774910232347,18,28.57142857142857,16269.276406018644,6.666666666666667,391,73,46.46,2420.221402522087,112443.48636117615,0.8067404675073623,6246.860353398675
9178,131.03433189247357,2,22.22222222222222,306.26764278973826,1.5,39,23,5.46875,176.41891628622352,964.7909484402849,0.05880630542874117,53.59949713557138
9179,132.49192703536275,2,22.22222222222222,199.9889188188704,1.5,36,24,4.529411764705882,165.05865002596164,747.6185912940615,0.05501955000865388,41.534366183003414
9180,51.91460822493001,1,0.5494505494505495,26791.24330952075,1.0,1078,283,4.580357142857142,8779.941585772769,40215.26815626277,2.9266471952575897,2234.1815642368206
9181,112.26122967692649,2,12.5,2780.3769566919036,1.5,105,34,11.88,534.1835983312857,6346.101148175674,0.1780611994437619,352.5611748986486
9182,137.22026369200344,2,28.57142857142857,247.03332308948845,1.5,32,22,4.666666666666666,142.7018117963935,665.9417883831696,0.04756727059879784,36.9967660212872
9183,117.49748332558892,3,17.647058823529413,1224.2869426934144,2.0,84,34,10.416666666666668,427.34687866502856,4451.529986094048,0.14244895955500952,247.30722144966933
9184,86.07827572238844,2,1.9801980198019802,4012.831711679433,1.3333333333333333,507,151,14.889285714285716,3669.8712028378154,54641.760873681626,1.2232904009459384,3035.6533818712014
9185,135.54489183568623,2,28.57142857142857,403.1860228518961,1.5,37,23,6.133333333333334,167.37179237410948,1026.5469932278716,0.055790597458036495,57.03038851265953
9186,108.07710237047485,2,10.526315789473683,3767.1892532317183,1.5,140,34,12.703703703703704,712.2447977750476,9048.146875438568,0.23741493259168253,502.67482641325375
9187,131.89624989691964,2,22.22222222222222,238.0394844570315,1.5,39,24,4.735294117647059,178.81353752812512,846.7346924125925,0.05960451250937504,47.04081624514403
9188,131.25116574338335,2,22.22222222222222,596.5989363804704,1.5,50,30,7.5,245.34452978042594,1840.0839733531946,0.08178150992680865,102.2268874085108
9189,122.10747021431303,1,8.333333333333332,790.2964050982797,1.0,83,23,5.578947368421052,375.45564235273207,2094.6472678626105,0.12515188078424402,116.36929265903392
9190,135.14094420237805,2,25.0,191.30766943157215,1.5,33,22,4.666666666666666,147.1612434150308,686.7524692701437,0.04905374780501027,38.15291495945243
9191,135.14094420237805,2,25.0,191.30766943157215,1.5,33,22,4.666666666666666,147.1612434150308,686.7524692701437,0.04905374780501027,38.15291495945243
9192,122.6001110808497,3,25.0,653.1101990499563,2.0,55,29,6.285714285714286,267.1889547320165,1679.4734297441037,0.08906298491067216,93.30407943022799
9193,124.57917737907484,3,27.27272727272727,603.138975566639,2.0,53,29,6.095238095238095,257.47299274176135,1569.3591938545453,0.08582433091392044,87.18662188080808
9194,134.88953940080643,2,25.0,205.9005206452921,1.5,34,25,4.083333333333334,157.89111045234063,644.7220343470576,0.05263037015078021,35.81789079705876
9195,134.68115912407194,2,25.0,218.83610007500022,1.5,34,24,4.3235294117647065,155.88872502451935,673.9894876060102,0.05196290834150645,37.44386042255613
9196,120.7545315225613,3,23.076923076923077,713.3125947150093,2.0,61,32,6.0,305.0,1830.0,0.10166666666666667,101.66666666666667
9197,134.62502007349312,2,25.0,222.45792335587964,1.5,37,24,4.529411764705882,169.6436125266828,768.3857743855633,0.0565478708422276,42.68809857697574
